movie title, Daudience , A1audience , A2audience , Dscreen , A1screen , A2screen , Nationality , Grade , Season , Month , Actscore , social distancing , labels 
 007 노 타임 투 다이 ,104194,564241,803296,2178,2201,1711,1,1,4,9,8,4,1229971
 오케이 마담 ,116047,779373,1059052,1121,1288,1076,0,2,4,8,12,1,1229018
 해치지않아 ,145512,813395,1039132,1104,1195,603,0,1,4,1,7,0,1224726
 미나리 ,41730,277064,392476,996,1158,985,1,1,4,3,4,3,1134177
 발신제한 ,57452,350784,546889,968,997,870,0,2,4,6,10,2,955808
 보스 베이비 2 ,57912,356263,538682,1095,1338,796,1,0,4,7,4,4,925238
 결백 ,27371,314864,442565,938,1112,813,0,2,4,6,2,1,894025
1917,66638,283037,373600,932,863,603,1,2,4,2,0,0,879471
 작은 아씨들 ,86025,464496,655311,932,1092,663,1,0,4,2,4,0,864822
 콰이어트 플레이스 2 ,67205,379706,518007,1137,1100,754,1,2,4,6,4,2,863339
 랑종 ,177649,558599,692638,1328,13553,836,0,3,4,7,0,4,834338
 유체이탈자 ,70214,362490,523215,1105,1187,1052,0,2,4,11,7,0,811169
 컨저링3: 악마가 시켰다 ,51247,381228,559150,924,961,1050,1,2,4,6,3,2,799457
 기적 ,42006,188583,381021,1128,1148,919,0,1,4,9,18,4,715877
 고질라 VS. 콩 ,39181,350541,505739,1164,1134,1053,1,1,4,3,1,2,703485
 지푸라기라도 잡고 싶은 짐승들 ,85670,370653,462847,996,988,681,0,3,4,2,8,0,629249
 킹스맨: 퍼스트 에이전트 ,67049,405856,622461,1061,970,883,1,3,4,12,6,0,622461
 엔칸토: 마법의 세계 ,40561,316689,464960,853,1092,697,1,0,4,11,0,0,620095
 미스터 주: 사라진 VIP ,51431,393857,555962,647,692,597,0,1,4,1,13,0,604143
 연애 빠진 로맨스 ,40594,209077,316360,931,944,799,0,2,4,11,1,0,603015
 인비저블맨 ,26785,155956,249015,776,744,632,1,2,4,2,1,0,575043
 원더 우먼 1984 ,51334,303839,420870,2185,2230,1877,1,1,4,12,7,0,548695
 나쁜 녀석들: 포에버 ,62608,402585,494139,876,896,302,1,3,4,1,3,0,547805
 국제수사 ,86468,407561,483144,1000,948,526,0,2,4,9,15,2,537470
 침입자 ,50416,316514,425085,1241,1224,823,0,2,4,6,7,1,532045
 장르만 로맨스 ,57130,331725,434581,1135,1175,688,0,2,4,11,12,0,518441
 스타워즈: 라이즈 오브 스카이워커 ,74338,381509,447647,957,881,445,1,1,4,1,1,0,507889
